Titulo,Descripción,Categoría,URL,Fecha de última actualización de datos (UTC),Vistas,Descargas,Número de Filas,Información de la Entidad: Nombre de la Entidad
MEN_ESTABLECIMIENTOS_EDUCATIVOS_PREESCOLAR_BÁSICA_Y_MEDIA,"Contiene los establecimientos educativos de Preescolar,  básica y Media en Colombia, con historia desde el 2018, la información del 2020 es preliminar y no tiene auditorías",Educación,https:--www.datos.gov.co-d-cfw5-qzt5,12-12-2016,12509,3411,57920,Ministerio de Educación Nacional
Reporte Hurto por Modalidades Policía Nacional,"En este conjunto de datos la ciudadanía puede encontrará información del delito de hurto en Colombia a través de las modalidades de abigeato, residencias, bancos, y piratería desde el 01 de enero del año 2010 al 31 de julio del año 2021.

Fuente: DIJIN - Policía Nacional. Datos extraídos el día 05 de agosto de 2021 a las 18:00
horas. Cifras sujetas a variación, en proceso de integración y consolidación con información de fiscalía general de la nación.
Señor usuario si encuentra alguna inconsistencia en la información publicada, no la puede hacer saber atreves del correo electrónico Dijin.aicri-jef@policia.gov.co",Seguridad y Defensa,https:--www.datos.gov.co-d-d4fr-sbn2,02-02-217,828,374,366008,Dirección General de la Policía Nacional
MEN_PROGRAMAS_DE_EDUCACIÓN_SUPERIOR,Contiene información de los programas de educación superior del país.,Educación,https:--www.datos.gov.co-d-upr9-nkiz,03-03-2017,14023,2670,27005,Ministerio de Educación Nacional
Cantidad de empleos y tipos de planta por entidad,"Número de empleos de la Rama Ejecutiva del orden nacional, por sector administrativo y por entidad, de acuerdo con planta que tenga la entidad (planta de personal, planta temporal, planta de trabajadores oficiales, planta transitoria, planta docente y planta privada).

Nos interesa conocer su opinión sobre nuestros conjuntos de datos. Lo invitamos a diligenciar esta breve encuesta de satisfacción de datos abiertos: https:--www.funcionpublica.gov.co-encuesta-institucional2",Función pública,https:--www.datos.gov.co-d-fvq4-wwtz,04-04-2017,2708,431,3897,Departamento Administrativo de la Función Pública
MEN_DIRECTIVOS_DE_INSTITUCIONES_DE_EDUCACIÓN_SUPERIOR,Contiene información de los directivos de las instituciones de educación superior del país.,Educación,https:--www.datos.gov.co-d-muyy-6yw9,05-05-2017,12275,9242,740,Ministerio de Educación Nacional
Registro Nacional de Turismo - RNT,"Registro público, en el cual deben inscribirse todos los prestadores de servicios turísticos que efectúen sus operaciones en el territorio de Colombia.","Comercio, Industria y Turismo",https:--www.datos.gov.co-d-thwd-ivmp,06-06-2017,614,134,303157,"Ministerio de Comercio, Industria y Turismo"
Plan Anual de Adquisiciones - SECOP II,Información de los planes anuales de adquisiciones registrados por las entidades en la plataforma SECOP II,Gastos Gubernamentales,https:--www.datos.gov.co-d-edfp-tdwk,07-07-2017,1552,172,863969,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
Universo de entidades,"Información básica de las entidades del orden nacional y territorial en relación con su naturaleza jurídica, clasificación orgánica, sector administrativo, tipo de vinculación, nivel, orden, suborden, entre otros.

Nos interesa conocer su opinión sobre nuestros conjuntos de datos. Lo invitamos a diligenciar esta breve encuesta de satisfacción de datos abiertos: https:--www.funcionpublica.gov.co-encuesta-institucional2",Función pública,https:--www.datos.gov.co-d-h7zv-k39x,08-08-2017,8101,1216,6296,Departamento Administrativo de la Función Pública
MEN_SEDES_EDUCATIVAS_PREESCOLAR_BÁSICA_Y_MEDIA,"Contiene las sedes educativas de Preescolar, básica y Media en Colombia, con historia desde el 2019

FUENTE: Sistema Integrado de Matrícula SIMAT- Directorio Unico de Establecimientos DUE- Ministerio Educación Nacional y DANE para los datos georreferenciados

NOTA1: Información de matrícula definitiva 2019
									NOTA2: Los códigos DANE de los establecimientos educativos (EE) y sedes educativas son asignados por el Departamento Nacional de Estadística – DANE; algunos EE y sedes  manejan otros códigos que no corresponden a los asignados por el DANE, razón por la cual desde el año 2016, se viene realizando depuración de la información. En sentido, para efectos de cruces de información de EE y sedes de otros cortes o años anteriores, se sugiere utilizar para las sedes el código único de sedes SEDE_ID y para los establecimientos, el código único EST_ID, los cuales se relacionan en este reporte.",Educación,https:--www.datos.gov.co-d-x5ay-984n,09-09-2017,283,77,53796,Ministerio de Educación Nacional
Zonas Wi-Fi,"Una zona wifi es una zona que presta el servicio de acceso a internet a la comunidad, a través de redes inalámbricas con tecnología Wi-Fi, en la que cualquier dispositivo con dicha tecnología puede conectarse de manera gratuita hasta por una hora con la oportunidad de reconexión persona.","Ciencia, Tecnología e Innovación",https:--www.datos.gov.co-d-gwei-eiiw,10-10-2017,1905,340,1719,Ministerio de Tecnologías de La Información y Las Comunicaciones
